Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,exchange,ACT Symbol,Exchange,CQS Symbol,NASDAQ Symbol,act_symbol_backup,cqs_symbol_backup
GILT,Gilat Satellite Networks Ltd. - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
GITS,"Global Interactive Technologies, Inc. Common Stock - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GLBE,Global-E Online Ltd. - ordinary shares,Q,N,N,100,N,N,NASDAQ,,,,,,
GLBS,Globus Maritime Limited - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GLBZ,Glen Burnie Bancorp - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GLDD,Great Lakes Dredge & Dock Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GLE,Global Engine Group Holding Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GLIBA,"GCI Liberty, Inc. - Series A GCI Group Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GLIBK,"GCI Liberty, Inc. - Series C GCI Group Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GLMD,Galmed Pharmaceuticals Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GLNG,Golar LNG Limited - Common Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
GLPI,"Gaming and Leisure Properties, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GLRE,"Greenlight Reinsurance, Ltd. - Class A Ordinary Shares",Q,N,N,100,N,N,NASDAQ,,,,,,
GLSI,"Greenwich LifeSciences, Inc. - Common stock",S,N,N,100,N,N,NASDAQ,,,,,,
GLTO,"Galecto, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GLXG,Galaxy Payroll Group Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GLXY,Galaxy Digital Inc. - Class A common stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GMGI,"Golden Matrix Group, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GMHS,Gamehaus Holdings Inc. - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GMM,Global Mofy AI Limited  - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GNLN,"Greenlane Holdings, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GNLX,Genelux Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GNPX,"Genprex, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
GNSS,Genasys Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GNTX,Gentex Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GO,Grocery Outlet Holding Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GOCO,"GoHealth, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GOGO,Gogo Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GOOGL,Alphabet Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GORV,"Lazydays Holdings, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GOSS,"Gossamer Bio, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GOVX,"GeoVax Labs, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
GP,GreenPower Motor Company Inc. - Common Shares,S,N,D,100,N,N,NASDAQ,,,,,,
GPAT,GP-Act III Acquisition Corp. - Class A Ordinary Share,G,N,N,100,N,N,NASDAQ,,,,,,
GPRE,"Green Plains, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GPRO,"GoPro, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GRAB,Grab Holdings Limited - Class A Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
GRAL,"GRAIL, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GRAN,Grande Group Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GRCE,"Grace Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GREE,Greenidge Generation Holdings Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GRI,"GRI Bio, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GRNQ,Greenpro Capital Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GRPN,"Groupon, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GRWG,GrowGeneration Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GSAT,"Globalstar, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GSBC,"Great Southern Bancorp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GSHD,"Goosehead Insurance, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GSIT,"GSI Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
GSM,Ferroglobe PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GSRF,GSR IV Acquisition Corp. - Class A ordinary share,G,N,N,100,N,N,NASDAQ,,,,,,
GSUN,Golden Sun Health Technology Group Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GT,The Goodyear Tire & Rubber Company - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GTBP,"GT Biopharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GTEC,Greenland Technologies Holding Corporation - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
GTEN,"Gores Holdings X, Inc. - Class A ordinary shares",G,N,N,100,N,N,NASDAQ,,,,,,
GTERA,Globa Terra Acquisition Corporation - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
GTI,Graphjet Technology - Class A Ordinary Shares,G,N,H,100,N,N,NASDAQ,,,,,,
GTIM,Good Times Restaurants Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GTLB,GitLab Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GTM,ZoomInfo Technologies Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GTX,Garrett Motion Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
GURE,"Gulf Resources, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
GUTS,"Fractyl Health, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
GV,Visionary Holdings Inc. - Common Shares,S,N,E,100,N,N,NASDAQ,,,,,,
GWAV,"Greenwave Technology Solutions, Inc. - Common Stock",S,N,E,100,N,N,NASDAQ,,,,,,
GWRS,"Global Water Resources, Inc. - common stock",G,N,N,100,N,N,NASDAQ,,,,,,
GXAI,Gaxos.ai Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
GYRE,"Gyre Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
GYRO,"Gyrodyne , LLC - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HAFC,Hanmi Financial Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HAIN,"The Hain Celestial Group, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HALO,"Halozyme Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HAS,"Hasbro, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HBAN,Huntington Bancshares Incorporated - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HBCP,"Home Bancorp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HBIO,"Harvard Bioscience, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
HBNB,Hotel101 Global Holdings Corp. - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HBNC,"Horizon Bancorp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HBT,"HBT Financial, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd. - Class A Ordinary Shares",S,N,D,100,N,N,NASDAQ,,,,,,
HCAT,"Health Catalyst, Inc - Common stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HCHL,Happy City Holdings Limited - Class A Ordinary shares,S,N,N,100,N,N,NASDAQ,,,,,,
HCKT,"The Hackett Group, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HCMA,HCM III Acquisition Corp. - Class A Ordinary Share,G,N,N,100,N,N,NASDAQ,,,,,,
HCSG,"Healthcare Services Group, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HCTI,"Healthcare Triangle, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HCWB,HCW Biologics Inc. - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
HDSN,"Hudson Technologies, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HELE,Helen of Troy Limited - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HFBL,"Home Federal Bancorp, Inc. of Louisiana - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HFFG,HF Foods Group Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HFWA,Heritage Financial Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HGBL,Heritage Global Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HHS,"Harte Hanks, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
HIFS,Hingham Institution for Savings - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
HIHO,Highway Holdings Limited - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HIND,"Vyome Holdings, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HIT,"Health In Tech, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HITI,High Tide Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HIVE,HIVE Digital Technologies Ltd - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HKIT,Hitek Global Inc. - Class A Ordinary Share,S,N,N,100,N,N,NASDAQ,,,,,,
HKPD,Hong Kong Pharma Digital Technology Holdings Limited - Ordinary shares,S,N,N,100,N,N,NASDAQ,,,,,,
HLIT,Harmonic Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HLMN,Hillman Solutions Corp. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
HLNE,Hamilton Lane Incorporated - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HLP,Hongli Group Inc. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HMR,Heidmar Maritime Holdings Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HNNA,"Hennessy Advisors, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
HNRG,Hallador Energy Company - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HNST,"The Honest Company, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HOFT,Hooker Furnishings Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HOLO,MicroCloud Hologram Inc. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HOLX,"Hologic, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HON,Honeywell International Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HOND,HCM II Acquisition Corp. - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
HONE,"HarborOne Bancorp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HONIV,Honeywell International Inc. - Common Stock Ex Distribution When Issued,Q,N,N,100,N,N,NASDAQ,,,,,,
HOOD,"Robinhood Markets, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HOPE,"Hope Bancorp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HOTH,"Hoth Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HOWL,"Werewolf Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HPAI,Helport AI Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HPK,"HighPeak Energy, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
HQI,"HireQuest, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HQY,"HealthEquity, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HRMY,"Harmony Biosciences Holdings, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
HRTX,"Heron Therapeutics, Inc.   - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HRZN,Horizon Technology Finance Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HSCS,HeartSciences Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HSDT,Solana Company - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HSIC,"Henry Schein, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HSII,"Heidrick & Struggles International, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HSPO,Horizon Space Acquisition I Corp. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HST,"Host Hotels & Resorts, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HSTM,"HealthStream, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HTBK,Heritage Commerce Corp - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HTCO,High-Trend International Group - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HTFL,"Heartflow, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HTLD,"Heartland Express, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HTLM,HomesToLife Ltd - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HTO,H2O America  - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HTOO,Fusion Fuel Green PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HTZ,"Hertz Global Holdings, Inc - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HUBC,Hub Cyber Security Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HUBG,"Hub Group, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HUDI,"Huadi International Group Co., Ltd. - Ordinary Shares",S,N,N,100,N,N,NASDAQ,,,,,,
HUMA,"Humacyte, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HURA,"TuHURA Biosciences, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HURC,"Hurco Companies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HURN,Huron Consulting Group Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HUT,Hut 8 Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HVII,Hennessy Capital Investment Corp. VII - Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
HVMC,Highview Merger Corp. - Class A Ordinary Share,G,N,N,100,N,N,NASDAQ,,,,,,
HWBK,"Hawthorn Bancshares, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HWC,Hancock Whitney Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
HWH,HWH International Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HWKN,"Hawkins, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
HXHX,Haoxin Holdings Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
HYFM,"Hydrofarm Holdings Group, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
HYFT,MindWalk Holdings Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HYMC,Hycroft Mining Holding Corporation - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
HYPD,"Hyperion DeFi, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IAC,IAC Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IART,Integra LifeSciences Holdings Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IAS,Integral Ad Science Holding Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IBAC,IB Acquisition Corp. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
IBCP,Independent Bank Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IBG,Innovation Beverage Group Limited - Ordinary Shares,S,N,D,100,N,N,NASDAQ,,,,,,
IBIO,"iBio, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
IBOC,International Bancshares Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IBRX,"ImmunityBio, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ICCC,ImmuCell Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ICCM,IceCure Medical Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ICFI,"ICF International, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ICMB,"Investcorp Credit Management BDC, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ICON,Icon Energy Corp. - Common stock,S,N,N,100,N,N,NASDAQ,,,,,,
ICU,SeaStar Medical Holding Corporation - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
ICUI,"ICU Medical, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IDAI,T Stamp Inc. - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
IDCC,"InterDigital, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IDN,"Intellicheck, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
IDXX,"IDEXX Laboratories, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IDYA,"IDEAYA Biosciences, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IESC,"IES Holdings, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
IFBD,"Infobird Co., Ltd - Ordinary Shares",S,N,N,100,N,N,NASDAQ,,,,,,
IFRX,InflaRx N.V. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IGIC,International General Insurance Holdings Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
IHRT,"iHeartMedia, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
III,"Information Services Group, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
IIIV,"i3 Verticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IINN,Inspira Technologies Oxy B.H.N. Ltd. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
IKT,"Inhibikase Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ILAG,Intelligent Living Application Group Inc. - Ordinary Shares,S,N,D,100,N,N,NASDAQ,,,,,,
ILMN,"Illumina, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,Q,N,N,100,N,N,NASDAQ,,,,,,
IMA,"ImageneBio, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IMCC,IM Cannabis Corp. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
IMDX,Insight Molecular Diagnostics Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
IMG,CIMG Inc. - Common Stock,S,N,H,100,N,N,NASDAQ,,,,,,
IMKTA,"Ingles Markets, Incorporated - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IMMX,"Immix Biopharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IMNM,"Immunome, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IMNN,"Imunon, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IMPP,Imperial Petroleum Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
IMRX,Immuneering Corporation - Class A Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
IMTE,Integrated Media Technology Limited - Ordinary Shares,S,N,E,100,N,N,NASDAQ,,,,,,
IMTX,Immatics N.V. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
IMUX,"Immunic, Inc.  - Common Stock",Q,N,D,100,N,N,NASDAQ,,,,,,
IMVT,"Immunovant, Inc.  - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IMXI,"International Money Express, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INAB,"IN8bio, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INAC,Indigo Acquisition Corp. - Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
INBK,First Internet Bancorp - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INBS,Intelligent Bio Solutions Inc.  - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
INBX,"Inhibrx Biosciences, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
INCY,Incyte Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INDB,Independent Bank Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INDI,"indie Semiconductor, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INDP,"Indaptus Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INDV,Indivior PLC - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
INEO,INNEOVA Holdings Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
INGN,"Inogen, Inc - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
INHD,Inno Holdings Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
INKT,"MiNK Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INLF,INLIF LIMITED - Class A Ordinary shares,S,N,N,100,N,N,NASDAQ,,,,,,
INM,InMed Pharmaceuticals Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
INMB,INmune Bio Inc. - Common stock,S,N,N,100,N,N,NASDAQ,,,,,,
INMD,InMode Ltd.  - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
INNV,InnovAge Holding Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INO,"Inovio Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INOD,Innodata Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
INSE,"Inspired Entertainment, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INSG,Inseego Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INSM,Insmed Incorporated - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INTA,"Intapp, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
INTC,Intel Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
INTG,The Intergroup Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
INTJ,Intelligent Group Limited - Class A Ordinary Shares,S,N,D,100,N,N,NASDAQ,,,,,,
INTS,"Intensity Therapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
INTZ,Intrusion Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
INV,"Innventure, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
INVA,"Innoviva, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
INVE,"Identiv, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
INVZ,Innoviz Technologies Ltd. - Ordinary shares,S,N,N,100,N,N,NASDAQ,,,,,,
IOBT,"IO Biotech, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IOSP,Innospec Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
IPCX,Inflection Point Acquisition Corp. III - Class A ordinary shares,G,N,N,100,N,N,NASDAQ,,,,,,
IPDN,"Professional Diversity Network, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IPGP,IPG Photonics Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IPM,Intelligent Protection Management Corp.  - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
IPOD,Dune Acquisition Corporation II - Class A ordinary shares,G,N,N,100,N,N,NASDAQ,,,,,,
IPSC,"Century Therapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
IPST,"Heritage Distilling Holding Company, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
IPW,iPower Inc. - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
IQST,iQSTEL Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
IRBT,iRobot Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IRD,"Opus Genetics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IRDM,Iridium Communications Inc - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
IREN,IREN Limited - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
IRIX,IRIDEX Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
IRMD,iRadimed Corporation - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
IRON,"Disc Medicine, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
IROQ,"IF Bancorp, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
IRTC,"iRhythm Technologies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
IRWD,"Ironwood Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ISBA,Isabella Bank Corporation - Common stock,S,N,N,100,N,N,NASDAQ,,,,,,
ISPC,iSpecimen Inc. - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
ISPO,Inspirato Incorporated - Class A Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ISRG,"Intuitive Surgical, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
